origin,job_original,populations_original,origin_DA_id,original_acc,job_increase_40,populations_increase_40,job_increase_240,populations_increase_240,job_increase_80,populations_increase_80,job_increase_120,populations_increase_120,job_increase_160,populations_increase_160,job_increase_200,populations_increase_200,job_increase_280,populations_increase_280,job_increase_320,populations_increase_320,job_increase_360,populations_increase_360,job_increase_400,populations_increase_400,job_increase_440,populations_increase_440,job_increase_480,populations_increase_480
14063771,345490.0,311753.0,35200957,345490.0,45375.0,25950.0,78990.0,117522.0,68485.0,85445.0,77005.0,95533.0,80015.0,106240.0,81005.0,100103.0,76345.0,115118.0,78210.0,120408.0,82435.0,141393.0,82960.0,145794.0,100840.0,143346.0,85645.0,149700.0
13465759,449225.0,381882.0,35200901,449225.0,96825.0,51626.0,145770.0,143428.0,103805.0,64327.0,115615.0,94660.0,138900.0,120860.0,132280.0,126189.0,144685.0,141655.0,148350.0,150082.0,155590.0,156660.0,155550.0,157719.0,152985.0,156481.0,158635.0,162809.0
13465769,447200.0,369402.0,35200895,447200.0,98425.0,57236.0,145415.0,140958.0,105245.0,68017.0,115325.0,86700.0,137795.0,109579.0,132310.0,123552.0,144600.0,143119.0,147975.0,151314.0,155460.0,158502.0,155700.0,156682.0,155725.0,173340.0,159205.0,164046.0
13465777,3670.0,1745.0,35200893,3670.0,532255.0,390486.0,580085.0,483964.0,0.0,0.0,552165.0,440952.0,571505.0,455703.0,565805.0,461980.0,579310.0,489147.0,582780.0,496316.0,590265.0,503504.0,589510.0,499112.0,591160.0,520067.0,592595.0,506780.0
20035776,35550.0,155070.0,35203228,35550.0,0.0,0.0,0.0,2699.0,0.0,0.0,0.0,2699.0,0.0,2699.0,0.0,2699.0,560.0,5870.0,2615.0,11288.0,2005.0,10283.0,5460.0,20418.0,560.0,5870.0,5460.0,20418.0
13457603,393090.0,347794.0,35202906,393090.0,36100.0,19024.0,54060.0,62054.0,43520.0,38074.0,48800.0,55828.0,48860.0,41207.0,53920.0,57713.0,52500.0,58402.0,54985.0,60967.0,64940.0,65439.0,65670.0,67997.0,56395.0,64012.0,75710.0,97342.0
13449414,1755.0,19653.0,35203026,1755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30111942,117490.0,211662.0,35204221,117490.0,10120.0,6307.0,336630.0,109964.0,342100.0,91758.0,346335.0,99411.0,369085.0,111304.0,348890.0,109556.0,363495.0,124317.0,366970.0,138388.0,377400.0,155160.0,375665.0,156201.0,392430.0,172234.0,376505.0,160887.0
13457609,0.0,2320.0,35200494,0.0,0.0,0.0,29960.0,147515.0,0.0,0.0,30020.0,148938.0,30020.0,148938.0,29960.0,147849.0,30135.0,148329.0,29960.0,148247.0,30135.0,148329.0,30530.0,151210.0,30315.0,150304.0,30665.0,151623.0
13465804,443985.0,374289.0,35200921,443985.0,97030.0,69597.0,142290.0,153059.0,110360.0,114342.0,119035.0,124720.0,135995.0,137476.0,128195.0,141844.0,140075.0,151686.0,143885.0,160559.0,152955.0,172559.0,151365.0,172535.0,151755.0,179253.0,156545.0,181799.0
